행정구역별(1),2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.1,2010.11,2010.12,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.1,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.1,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.1,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.1,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.1,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12
전국,0.13,0.26,0.22,0.17,0.02,0,-0.16,-0.1,0.07,0.17,0.32,0.34,0.41,0.7,0.87,1.14,0.15,0.47,0.4,0.49,0.5,0.36,0.36,0.14,0.24,0.01,0.02,-0.06,-0.09,-0.22,-0.27,-0.28,-0.24,-0.19,-0.16,-0.21,-0.26,-0.17,-0.08,0.12,0.17,0.03,-0.07,-0.13,0.05,0.29,0.19,0.16,0.24,0.2,0.23,0.06,0.02,0.02,0.04,0.09,0.24,0.24,0.17,0.14,0.14,0.2,0.3,0.43,0.34,0.38,0.28,0.27,0.33,0.33,0.31,0.15,0.04,0,0,0.02,0.03,0.04,0.04,0.07,0.08,0.17,0.15,0.07,0.02,0.01,0.06,0.1,0.14,0.21,0.18,0.25,0.12,0.13,0.13,0.11,0.14,0.2,0.12,0.06,-0.03,-0.02,-0.02,0.02,0.31,0.19,0.13,-0.01,-0.15,-0.12,-0.16,-0.21,-0.16,-0.13,-0.09,-0.05,0.01,0.12,0.19,0.38,0.28,0.34,0.54,0.27,0.14,0.41,0.61,0.47,0.42,0.32,0.54,0.9,0.79,0.89,0.74,0.71,0.7,1.15,0.85,0.96,0.92,0.88,0.63,0.29
서울특별시,0.13,0.23,0.07,-0.02,-0.25,-0.24,-0.34,-0.38,-0.19,-0.12,-0.06,0.03,0.17,0.23,0.22,0.14,0.13,-0.02,-0.07,0.12,-0.02,-0.01,-0.08,-0.12,-0.16,-0.14,-0.33,-0.48,-0.39,-0.5,-0.46,-0.61,-0.49,-0.42,-0.37,-0.49,-0.51,-0.31,-0.08,0.04,0.15,-0.24,-0.43,-0.41,0,0.33,0.06,-0.03,0.23,0.23,0.22,-0.01,-0.07,-0.07,-0.04,0.05,0.25,0.25,0.1,0,0.09,0.2,0.36,0.51,0.44,0.5,0.38,0.37,0.45,0.46,0.46,0.29,0.05,0,0.01,0.08,0.15,0.22,0.23,0.26,0.26,0.43,0.35,0.09,0.03,0.05,0.13,0.23,0.35,0.66,0.41,0.45,0.07,0.23,0.36,0.59,0.86,0.94,0.55,0.31,0.21,0.23,0.32,0.63,1.25,0.51,0.2,0.04,-0.2,-0.19,-0.22,-0.18,-0.11,-0.04,0.07,0.14,0.17,0.44,0.5,0.86,0.34,0.15,0.13,-0.02,-0.09,0.13,0.71,0.42,0.27,0.16,0.17,0.26,0.4,0.51,0.38,0.35,0.4,0.72,0.6,0.68,0.72,0.71,0.55,0.26
부산광역시,0.36,0.76,0.95,1.13,0.91,0.72,0.53,0.49,0.7,1.07,1.33,1.18,1.17,1.63,1.96,3.5,0.5,1.13,1.02,0.92,0.95,0.85,0.96,0.32,0,-0.19,-0.13,-0.21,-0.24,-0.4,-0.33,-0.38,-0.17,-0.08,-0.08,-0.17,-0.19,-0.14,-0.09,0.06,0.07,-0.03,-0.1,-0.1,-0.04,0.16,0.08,0.08,0.02,0.08,0.08,0.05,0.05,0.04,0.09,0.09,0.13,0.2,0.15,0.15,0.09,0.19,0.28,0.38,0.28,0.39,0.26,0.18,0.29,0.39,0.47,0.17,0.05,0.07,0.08,0.14,0.13,0.18,0.21,0.35,0.35,0.59,0.59,0.41,0.23,0.18,0.17,0.28,0.39,0.38,0.29,0.23,0.1,0.05,0.03,0,-0.07,-0.08,-0.08,-0.12,-0.12,-0.13,-0.14,-0.23,-0.13,-0.09,-0.13,-0.18,-0.19,-0.13,-0.17,-0.22,-0.22,-0.22,-0.21,-0.16,-0.17,-0.12,0.05,0.45,0.18,0.1,0.03,-0.05,-0.01,0.06,0.57,0.46,0.55,0.49,1.28,2.12,1.34,0.99,0.66,0.57,0.8,1.47,0.85,0.99,0.87,0.9,0.65,0.25
대구광역시,0.09,0.11,0.03,0.2,0.09,-0.02,-0.02,0.07,0.13,0.24,0.35,0.26,0.32,0.8,0.93,1.1,0.19,0.77,0.62,0.76,0.94,0.68,1.05,0.49,1.56,0.38,0.48,0.42,0.23,0.08,0.11,0.29,0.16,0.2,0.26,0.66,0.56,0.21,0.25,0.87,0.75,0.87,1.16,0.63,0.49,0.73,0.85,1.15,1.2,0.67,0.54,0.51,0.38,0.19,0.2,0.29,0.44,0.43,0.6,0.64,0.46,0.45,0.5,0.87,0.79,0.91,0.78,0.8,0.98,0.7,0.45,0,-0.14,-0.2,-0.23,-0.23,-0.12,-0.27,-0.15,-0.21,-0.12,-0.07,-0.05,-0.06,-0.07,-0.08,-0.05,-0.04,-0.09,0,0.08,0.46,0.32,0.29,0.26,0.21,0.25,0.16,0.2,0.33,0.26,0.16,0.14,0.19,0.36,0.56,0.53,0.44,0.15,0.08,0.05,0.02,0.06,0.03,0.01,0.03,0.08,0.19,0.22,0.29,0.41,0.29,0.06,-0.12,0,0.22,0.26,0.48,0.72,0.75,1.06,1.59,1.15,1.3,1.11,0.82,0.79,0.84,0.34,0.27,0.15,0.09,0,-0.1
인천광역시,0.05,0.02,0.03,-0.16,-0.24,-0.21,-0.42,-0.28,-0.3,-0.1,-0.12,-0.05,-0.03,0.13,0.15,0.06,-0.08,-0.15,-0.2,-0.29,-0.28,-0.36,-0.35,-0.2,-0.14,-0.15,-0.21,-0.12,-0.36,-0.42,-0.49,-0.5,-0.5,-0.49,-0.41,-0.65,-0.64,-0.48,-0.43,0.16,0.02,-0.02,-0.1,-0.14,0,0.35,0.32,0.12,0.05,0.15,0.33,0.13,0.04,-0.02,0.02,0.07,0.22,0.22,0.15,0.08,0.08,0.16,0.37,0.5,0.38,0.44,0.29,0.23,0.25,0.24,0.23,0.15,0.01,-0.03,0,0,0.05,0.1,0.09,0.15,0.08,0.12,0.13,0.08,-0.03,-0.06,0.04,0.07,0.08,0.11,0.14,0.35,0.29,0.2,0.18,0.02,0.01,0.08,0.07,0.02,-0.03,0.01,-0.08,-0.17,0.01,0.15,0.3,0.32,-0.04,-0.05,-0.05,-0.05,-0.03,0,-0.04,-0.11,0.16,0.15,0.22,0.41,0.2,0.43,1.61,1.05,0.59,0.77,0.47,0.19,0.21,0.21,0.42,0.48,0.72,1.16,1.31,1.47,1.42,2.12,1.33,1.38,1.46,1.5,0.94,0.49
광주광역시,0.07,0.09,-0.01,0.08,0.21,-0.02,-0.07,0.06,0.13,0.3,0.38,0.63,0.57,1.39,1.66,2.53,0.59,1.59,1.37,1.36,1.71,0.98,0.62,0.37,0.8,-0.03,0.51,0.25,0.47,0.52,0.15,-0.04,0,0.01,0.1,0.14,0.01,0.08,0.14,0.24,0.17,0.09,-0.03,-0.06,-0.02,0.08,0.14,0.02,0.02,0.21,0.06,0.12,0.05,0.03,0.12,0.1,0.14,0.17,0.15,0.25,0.27,0.29,0.57,1.06,0.59,0.71,0.44,0.34,0.26,0.41,0.54,0.21,0.07,0.03,0.06,0.13,0.01,-0.04,-0.07,-0.06,-0.02,0.06,0.08,0.1,0.08,0.03,0.01,0.05,0.12,0.07,0.18,0.21,0.2,0.24,0.08,0.05,0.15,0.16,0.23,0.21,0.2,0.14,0.27,0.29,0.67,0.61,0.46,0.42,0.18,0.14,0.07,0.04,-0.02,-0.04,-0.05,-0.01,0.01,0.02,0.1,0.12,0.11,0.12,0.08,0.03,-0.01,-0.01,0.04,0.07,0.1,0.09,0.23,1.08,0.57,0.4,0.34,0.45,0.47,0.97,0.73,0.85,0.81,0.95,0.77,0.52
대전광역시,0.63,0.93,0.5,0.62,0.68,0.28,0.18,0.47,0.44,0.74,0.85,1.1,0.99,1.71,1.54,1.56,-0.82,1.89,1.51,1.26,1.22,0.75,0.19,-0.06,-0.24,-0.33,-0.15,-0.24,-0.22,-0.62,-0.49,-0.64,-0.13,0.08,0.17,0.01,0.04,-0.07,0.05,0.2,0.07,0,-0.2,-0.26,-0.07,0.2,0.15,0.16,0.32,-0.02,0.03,-0.04,-0.12,-0.07,-0.01,0.08,0.18,0.2,0.07,0.03,0.04,0.03,0.12,0.04,0.03,0.01,-0.04,0.01,-0.03,0.07,0.1,-0.03,-0.06,-0.03,0.05,0,0.01,-0.02,0.02,0.03,0.03,0.05,0.09,0.09,0.12,0.06,0.08,0.09,0.03,0.04,0.08,0.23,0.19,0.19,0.27,0.1,0.14,0.15,0.11,0.06,-0.01,-0.01,0.02,0.16,0.18,0.57,0.63,0.5,0.25,0.12,0.06,0.02,0.21,0.36,0.35,0.77,0.94,1.22,1.17,1.15,1.26,1.1,1.3,0.89,0.43,2.19,0.82,0.75,1.19,0.81,1.02,1.41,1.15,1.26,1.18,1.03,0.94,1.13,0.82,1.05,0.84,0.87,0.57,0.15
울산광역시,0.24,0.41,0.26,0.36,0.42,0.13,0.13,0.03,0.19,0.16,0.46,0.18,0.59,0.97,1.48,1.52,0.38,0.99,0.72,0.69,0.95,0.9,1.8,0.78,0.9,0.75,0.62,0.65,0.58,0.43,-0.34,-0.15,-0.12,0.03,0.26,-0.2,-0.1,-0.16,-0.12,0.12,0.05,0.12,0.05,-0.16,-0.02,0.2,0.24,0.03,0.05,0.18,0.21,0.24,0.26,0.39,0.39,0.31,0.31,0.25,0.22,0.26,0.1,0.2,0.18,0.34,0.28,0.39,0.28,0.21,0.34,0.33,0.28,0.24,0.19,0.16,0.08,0.1,0.11,-0.03,-0.14,-0.11,0.01,0.08,0.02,-0.04,-0.12,-0.06,0.01,-0.05,-0.06,-0.11,-0.05,-0.13,-0.02,-0.08,-0.21,-0.2,-0.3,-0.26,-0.24,-0.41,-0.69,-0.56,-0.7,-0.85,-0.59,-0.76,-0.83,-0.89,-0.67,-0.43,-0.43,-0.55,-0.39,-0.37,-0.31,-0.26,-0.19,0.04,0.19,0.4,0.33,0.43,0.37,0.15,0.1,0.28,0.45,0.43,0.61,0.62,1.08,2.54,1.52,0.85,0.47,0.37,0.34,0.66,0.72,0.77,0.7,0.69,0.5,0.27
세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.71,0.81,0.73,0.79,0.63,0.53,0.37,0.09,-0.24,0.04,0.3,0.23,0.15,0.18,0.13,-0.01,-0.01,-0.17,-0.07,-0.18,-0.17,-0.07,0.18,-0.02,0.02,-0.04,0,-0.02,0,-0.01,-0.02,-0.03,-0.01,-0.01,0.02,0.01,0.02,0.02,0.04,0.1,0.05,0.03,0.01,0.1,0.08,0.03,0.07,0.13,0.13,0.08,0,0,0.2,0.66,1.67,0.69,0.54,0.17,0.1,0.07,0.06,0.21,0.16,0.21,0.32,0.17,0.2,0.29,0.07,0.01,0.17,0.27,0.05,0.07,-0.08,-0.2,-0.61,-0.3,-0.42,-0.28,-0.08,0,0.1,0.03,0.83,1.84,1.99,4.24,1.5,0.32,2.13,5.38,7.69,3.83,1.43,0.94,0.89,0.88,0.87,0.68,0.45,0.22,-0.07,-0.13,-0.19,-0.08,-0.11,-0.67,-1.74
